Tunnel_ID,Length (m),Depth (m),Rock_Type,Water_Level,Displacement (mm),Settlement (mm),Risk_Level
T562,353,33,Sandstone,Low,4.59,9.74,3
T563,428,109,Shale,High,1.06,9.65,3
T564,543,32,Sandstone,High,2.34,7.92,3
T565,123,101,Shale,Low,3.96,6.51,3
T566,534,104,Shale,Medium,3.58,6.76,3
T567,926,53,Clay,Medium,0.37,7.43,3
T568,189,193,Mixed,Low,0.43,3.82,1
T569,311,87,Shale,Low,0.17,3.5,1
T570,832,140,Clay,High,0.86,4.63,1
T571,386,172,Mixed,Medium,4.28,6.54,3
T572,193,95,Sandstone,Medium,1.69,6.04,2
T573,733,129,Clay,Medium,1.14,2.77,1
T574,559,20,Shale,Medium,4.61,5.26,3
T575,882,172,Clay,Low,4.59,4.85,3
T576,590,54,Sandstone,Low,3.16,3.21,3
T577,880,36,Shale,Low,1.05,1.11,1
T578,708,20,Clay,High,3.05,5.65,3
T579,304,26,Clay,Low,3.71,8.92,3
T580,716,198,Clay,Medium,3.12,6.45,3
T581,980,193,Mixed,Low,2.82,2.77,2
T582,854,114,Sandstone,Medium,4.98,2.93,3
T583,599,128,Clay,Low,3.11,3.74,3
T584,363,185,Clay,Medium,0.38,6.23,2
T585,197,112,Shale,Low,0.41,3.4,1
T586,630,89,Clay,Medium,0.8,6.1,2
T587,527,37,Sandstone,Low,4.12,4.2,3
T588,840,57,Mixed,Medium,2.8,1.29,2
T589,427,97,Clay,Medium,3.85,1.63,3
T590,268,50,Mixed,High,1.53,7.53,3
T591,696,85,Shale,High,0.62,6.59,2
T592,592,167,Sandstone,Low,0.36,5.59,2
T593,888,104,Mixed,Low,4.58,4.8,3
T594,427,189,Mixed,Medium,4.86,5.35,3
T595,242,142,Sandstone,Low,4.31,8.27,3
T596,977,109,Clay,Low,0.13,0.62,0
T597,461,98,Shale,High,2.22,3.51,2
T598,599,46,Shale,Medium,0.76,8.18,3
T599,748,42,Shale,Low,4.14,3.46,3
T600,335,116,Shale,High,3.33,4.81,3
T601,466,106,Sandstone,Medium,3.93,4.91,3
T602,855,199,Sandstone,High,3.22,7.62,3
T603,293,139,Clay,High,1.26,4.61,1
T604,686,147,Clay,Low,2.06,7.03,3
T605,216,42,Sandstone,High,2.1,0.75,2
T606,756,183,Shale,Low,4.18,8.32,3
T607,295,142,Sandstone,Low,4.79,9.45,3
T608,753,81,Clay,Low,3.73,4.02,3
T609,263,136,Sandstone,High,3.03,4.1,3
T610,522,171,Clay,Medium,0.75,5.17,2
T611,696,70,Sandstone,High,2.64,8.53,3
T612,690,135,Mixed,Medium,0.35,3.15,1
T613,513,81,Sandstone,Low,2.17,4.54,2
T614,403,181,Shale,Medium,1.07,2.96,1
T615,440,30,Shale,Medium,1.5,8.42,3
T616,144,33,Mixed,Medium,2.9,9.0,3
T617,349,138,Clay,High,2.57,5.94,2
T618,759,125,Sandstone,Low,3.97,6.82,3
T619,121,140,Clay,High,2.76,4.64,2
T620,480,182,Shale,High,2.31,8.32,3
T621,999,142,Mixed,High,3.99,5.4,3
T622,550,153,Mixed,Medium,3.41,8.78,3
T623,374,191,Mixed,Medium,1.26,6.63,2
T624,576,85,Clay,Medium,2.66,3.0,2
T625,152,115,Mixed,Medium,1.13,5.05,2
T626,147,51,Clay,Low,2.17,0.65,2
T627,704,36,Mixed,Medium,0.37,6.46,2
T628,480,199,Mixed,Low,4.4,3.19,3
T629,774,157,Sandstone,High,1.86,7.22,3
T630,117,76,Clay,High,2.19,4.84,2
T631,686,73,Shale,High,3.51,6.85,3
T632,695,78,Mixed,High,3.69,3.13,3
T633,480,57,Clay,High,2.07,5.15,2
T634,230,90,Sandstone,Low,4.78,5.6,3
T635,632,168,Clay,Medium,0.85,2.09,0
T636,678,151,Shale,Low,0.52,4.95,1
T637,100,115,Mixed,Medium,3.05,4.18,3
T638,204,63,Shale,Low,0.48,5.87,2
T639,737,195,Clay,Low,1.92,8.39,3
T640,168,52,Shale,Low,3.04,1.38,3
T641,896,35,Sandstone,Medium,3.62,4.83,3
T642,476,59,Sandstone,Medium,2.51,5.82,2
T643,985,197,Shale,Medium,4.05,2.23,3
T644,996,133,Shale,Low,0.35,5.66,2
T645,618,21,Sandstone,High,2.29,8.15,3
T646,184,110,Clay,Low,0.12,1.91,0
T647,720,140,Sandstone,High,4.76,6.22,3
T648,354,156,Mixed,High,0.24,2.76,1
T649,571,161,Shale,Low,2.63,9.02,3
T650,485,121,Mixed,Low,4.56,0.53,3
T651,847,199,Clay,Medium,2.68,3.35,2
T652,140,84,Sandstone,High,0.46,8.42,3
T653,430,22,Sandstone,Medium,4.55,0.73,3
T654,842,20,Clay,High,1.24,3.51,1
T655,860,78,Clay,High,0.23,8.78,3
T656,390,195,Clay,Medium,2.87,5.32,2
T657,959,111,Clay,Medium,3.31,3.21,3
T658,289,109,Shale,Low,3.42,4.08,3
T659,231,20,Shale,High,1.92,4.28,1
T660,653,163,Shale,Low,3.59,1.45,3
T661,565,44,Sandstone,High,4.67,3.69,3
T662,426,174,Clay,Low,2.47,9.15,3
T663,919,176,Sandstone,Medium,4.75,9.06,3
T664,677,93,Shale,Medium,3.08,8.57,3
T665,896,36,Clay,Low,4.35,5.46,3
T666,103,55,Sandstone,High,1.49,2.46,1
T667,873,151,Sandstone,Medium,3.32,1.03,3
T668,376,48,Sandstone,Medium,2.87,0.81,2
T669,273,179,Shale,High,4.02,2.3,3
T670,311,57,Clay,High,1.21,9.66,3
T671,416,26,Clay,Low,3.19,4.84,3
T672,466,125,Mixed,Low,2.13,6.76,2
T673,732,63,Clay,High,3.05,2.34,3
T674,384,22,Clay,Medium,4.02,7.34,3
T675,291,119,Sandstone,Medium,3.52,6.38,3
T676,247,43,Shale,High,1.86,4.98,1
T677,752,198,Clay,Low,4.29,4.24,3
T678,927,28,Sandstone,Medium,4.03,5.52,3
T679,716,52,Shale,Medium,0.15,4.47,1
T680,760,166,Mixed,Low,4.6,5.59,3
T681,701,102,Shale,High,1.01,7.87,3
T682,888,42,Sandstone,Low,3.41,5.39,3
T683,603,167,Mixed,Low,4.61,1.52,3
T684,746,191,Clay,Low,2.0,2.04,1
T685,404,83,Clay,Medium,0.53,3.54,1
T686,475,84,Mixed,Low,0.53,1.92,0
T687,647,59,Mixed,High,3.15,9.19,3
T688,514,184,Mixed,Medium,2.42,5.46,2
T689,539,123,Sandstone,Medium,4.86,1.71,3
T690,773,118,Clay,High,2.63,0.79,2
T691,282,99,Mixed,Medium,1.54,3.72,1
T692,613,182,Shale,High,4.37,6.11,3
T693,388,71,Sandstone,Low,4.34,3.1,3
T694,642,58,Mixed,High,2.44,4.44,2
T695,996,62,Clay,High,3.17,2.06,3
T696,504,136,Mixed,High,2.27,6.82,2
T697,586,92,Clay,Low,4.76,7.61,3
T698,296,43,Mixed,High,1.36,6.35,2
T699,344,155,Clay,Low,4.38,4.65,3
T700,215,40,Sandstone,Medium,4.91,6.78,3
T701,644,193,Mixed,Medium,0.57,7.75,3
T702,548,123,Clay,High,3.73,1.12,3
T703,544,138,Sandstone,High,1.1,3.68,1
T704,821,148,Sandstone,High,3.35,2.27,3
T705,231,104,Sandstone,Medium,4.4,7.56,3
T706,487,85,Mixed,Medium,2.65,6.47,2
T707,719,124,Shale,Medium,0.33,4.35,1
T708,404,77,Sandstone,Low,2.58,2.31,2
T709,546,75,Clay,Low,3.19,7.01,3
T710,268,161,Sandstone,Medium,1.28,3.2,1
T711,608,188,Clay,Medium,1.4,1.6,1
T712,541,49,Sandstone,High,3.84,4.76,3
T713,793,154,Clay,Medium,2.7,1.46,2
T714,413,177,Sandstone,Medium,4.5,0.62,3
T715,904,55,Clay,High,2.52,9.08,3
T716,426,147,Mixed,Medium,4.12,5.97,3
T717,652,93,Clay,Medium,3.52,8.89,3
T718,524,172,Sandstone,Low,1.3,5.35,2
T719,466,196,Shale,Medium,0.47,8.12,3
T720,928,194,Shale,High,3.46,2.86,3
T721,334,163,Clay,Low,4.42,5.52,3
T722,861,180,Sandstone,Medium,2.7,6.37,2
T723,373,84,Clay,Medium,1.88,6.82,2
T724,743,115,Clay,High,3.28,0.92,3
T725,267,169,Sandstone,High,4.64,4.02,3
T726,268,34,Mixed,Medium,0.26,8.08,3
T727,331,123,Mixed,High,1.75,0.74,1
T728,937,62,Sandstone,Low,4.23,2.49,3
T729,759,25,Shale,Medium,0.95,3.21,1
T730,684,59,Clay,High,3.86,3.56,3
T731,481,49,Mixed,Low,2.96,8.0,3
T732,798,194,Shale,High,4.21,4.24,3
T733,246,134,Shale,Medium,2.3,6.69,2
T734,553,79,Mixed,High,3.5,0.71,3
T735,948,60,Sandstone,High,1.39,7.67,3
T736,996,159,Sandstone,High,2.58,2.06,2
T737,391,196,Clay,Medium,3.78,2.17,3
T738,788,102,Mixed,Low,3.38,4.24,3
T739,928,38,Sandstone,Medium,4.06,6.57,3
T740,235,20,Clay,Low,1.73,5.97,2
T741,879,105,Clay,High,4.3,3.07,3
T742,188,58,Mixed,High,2.05,9.55,3
T743,941,25,Mixed,High,3.5,3.37,3
T744,335,50,Shale,High,0.86,7.85,3
T745,430,27,Mixed,High,4.41,9.35,3
T746,561,96,Mixed,High,0.84,8.03,3
T747,919,179,Sandstone,High,0.25,8.34,3
T748,271,169,Clay,Low,4.31,1.08,3
T749,454,142,Mixed,Low,2.7,4.42,2
T750,118,40,Mixed,Medium,1.51,0.77,1
T751,725,79,Sandstone,Low,1.26,2.73,1
T752,387,155,Mixed,High,2.8,8.93,3
T753,258,59,Clay,Medium,0.1,1.37,0
T754,221,160,Shale,High,1.24,1.44,1
T755,312,144,Shale,Medium,2.74,9.82,3
T756,107,166,Sandstone,High,4.97,2.59,3
T757,606,49,Mixed,Medium,0.81,4.29,1
T758,351,65,Sandstone,High,3.72,3.13,3
T759,711,196,Shale,Low,2.38,8.28,3
T760,193,24,Mixed,Medium,3.87,4.0,3
T761,691,180,Mixed,High,0.12,1.89,0
T762,941,182,Clay,Medium,4.73,1.94,3
T763,983,162,Mixed,Low,1.29,8.78,3
T764,602,175,Shale,Low,3.49,7.51,3
T765,979,35,Shale,Low,4.43,3.79,3
T766,337,119,Shale,Medium,1.41,1.51,1
T767,600,175,Mixed,Medium,3.77,4.35,3
T768,328,29,Shale,Low,2.04,3.02,2
T769,494,138,Clay,Low,3.96,5.69,3
T770,940,28,Shale,Low,1.53,2.08,1
T771,417,196,Shale,Medium,2.47,2.99,2
T772,511,53,Sandstone,Medium,1.25,5.4,2
T773,143,165,Sandstone,Medium,3.87,1.77,3
T774,214,163,Mixed,Low,2.73,2.43,2
T775,824,143,Shale,Low,2.03,6.5,2
T776,303,133,Clay,High,4.36,9.93,3
T777,389,37,Shale,Medium,1.81,8.52,3
T778,960,185,Clay,High,3.35,0.75,3
T779,975,55,Sandstone,Low,3.33,6.12,3
T780,177,167,Mixed,High,1.93,4.07,1
T781,382,197,Mixed,Low,0.7,9.57,3
T782,647,134,Shale,Low,4.26,7.11,3
T783,399,38,Mixed,Medium,2.98,9.93,3
T784,878,87,Mixed,Low,4.51,0.63,3
T785,325,110,Shale,Medium,2.83,0.99,2
T786,298,96,Sandstone,Medium,1.9,2.19,1
T787,766,122,Clay,Medium,4.47,8.79,3
T788,454,82,Mixed,High,4.44,2.28,3
T789,388,146,Clay,Low,1.6,6.43,2
T790,752,69,Shale,Medium,4.79,9.61,3
T791,914,54,Sandstone,Low,4.97,1.49,3
T792,386,88,Mixed,Medium,0.45,1.18,0
T793,123,157,Shale,Medium,2.1,9.92,3
T794,940,126,Shale,Low,1.1,5.83,2
T795,425,105,Sandstone,Medium,4.4,9.16,3
T796,941,82,Shale,High,4.94,4.58,3
T797,674,136,Shale,High,4.61,9.29,3
T798,867,111,Sandstone,High,1.48,2.55,1
T799,970,91,Clay,Low,1.12,1.89,1
T800,324,108,Mixed,High,1.67,7.37,3
T801,550,125,Shale,High,3.69,3.72,3
T802,411,188,Clay,Medium,3.68,6.91,3
T803,582,171,Sandstone,High,3.86,4.65,3
T804,718,175,Sandstone,High,4.61,1.8,3
T805,949,68,Sandstone,High,1.27,1.51,1
T806,492,89,Mixed,High,2.23,1.99,2
T807,770,41,Clay,Medium,3.45,6.63,3
T808,418,36,Sandstone,High,3.54,2.55,3
T809,998,130,Sandstone,Medium,4.3,5.95,3
T810,292,30,Sandstone,Low,2.2,6.89,2
T811,441,170,Clay,Low,3.57,0.64,3
T812,889,66,Sandstone,Medium,1.07,9.8,3
T813,272,29,Shale,Medium,4.04,7.11,3
T814,936,90,Sandstone,High,2.94,9.06,3
T815,821,109,Clay,Low,1.59,0.55,1
T816,983,86,Clay,Medium,1.69,5.2,2
T817,338,35,Sandstone,High,4.96,8.54,3
T818,210,193,Clay,Low,3.71,8.39,3
T819,594,177,Mixed,Medium,0.88,1.01,0
T820,627,163,Sandstone,High,0.12,2.66,1
T821,476,195,Shale,Medium,3.81,1.24,3
T822,535,51,Mixed,Low,1.85,2.22,1
T823,858,59,Mixed,High,3.29,5.59,3
T824,387,133,Mixed,High,2.4,5.99,2
T825,512,97,Sandstone,Medium,2.98,5.58,2
T826,963,154,Mixed,High,0.37,8.65,3
T827,468,187,Mixed,High,4.24,3.27,3
T828,571,95,Clay,Low,1.59,6.11,2
T829,347,25,Sandstone,Low,4.16,7.52,3
T830,819,86,Mixed,Medium,4.79,4.66,3
T831,571,133,Sandstone,High,4.3,7.34,3
T832,322,118,Shale,Medium,0.37,5.86,2
T833,568,127,Shale,High,0.21,3.0,1
T834,232,87,Mixed,Low,2.71,1.21,2
T835,284,30,Shale,Medium,1.5,8.01,3
T836,412,59,Mixed,Medium,0.15,8.89,3
T837,517,195,Clay,Low,4.08,7.7,3
T838,937,53,Clay,Low,3.9,5.47,3
T839,356,29,Mixed,High,2.32,3.38,2
T840,168,136,Mixed,High,2.55,9.03,3
T841,898,92,Shale,Low,2.46,9.71,3
T842,677,24,Mixed,High,2.59,2.76,2
T843,327,76,Shale,Low,0.86,9.29,3
T844,657,76,Shale,Medium,3.1,6.79,3
T845,995,39,Shale,Medium,2.25,3.15,2
T846,958,54,Shale,Low,0.37,8.46,3
T847,250,118,Shale,High,0.51,5.31,2
T848,792,115,Clay,Low,2.25,9.88,3
T849,461,132,Mixed,Medium,3.11,1.06,3
T850,901,26,Mixed,High,3.02,2.37,3
T851,530,182,Mixed,Low,1.88,2.03,1
T852,542,95,Clay,High,1.35,4.95,1
T853,671,134,Clay,Low,0.75,4.13,1
T854,509,103,Sandstone,Medium,4.53,8.25,3
T855,707,130,Sandstone,High,4.95,3.32,3
T856,465,95,Sandstone,Low,2.44,6.25,2
T857,446,167,Shale,High,1.26,5.73,2
T858,841,117,Sandstone,Medium,0.78,5.37,2
T859,260,83,Mixed,High,1.29,0.9,1
T860,895,33,Mixed,Low,4.39,5.49,3
T861,439,30,Mixed,Medium,4.12,9.14,3
T862,906,198,Mixed,Low,2.76,1.08,2
T863,551,92,Clay,High,1.13,8.62,3
T864,960,170,Mixed,High,4.14,0.77,3
T865,251,156,Mixed,High,4.34,7.81,3
T866,991,82,Clay,High,3.28,7.44,3
T867,140,35,Shale,High,4.82,9.1,3
T868,915,148,Sandstone,High,4.84,0.78,3
T869,511,182,Sandstone,Medium,4.2,4.77,3
T870,599,32,Shale,Medium,1.63,1.65,1
T871,606,51,Mixed,High,2.55,4.97,2
T872,211,151,Mixed,Medium,3.29,9.31,3
T873,925,150,Shale,Low,1.21,1.42,1
T874,416,160,Clay,High,0.65,5.11,2
T875,482,162,Mixed,Low,4.91,9.23,3
T876,760,176,Shale,Low,3.08,9.48,3
T877,112,143,Mixed,Low,3.14,0.89,3
T878,240,186,Clay,Medium,2.4,5.97,2
T879,360,193,Clay,Low,0.79,5.23,2
T880,110,145,Sandstone,Low,2.94,2.31,2
T881,796,94,Sandstone,Low,4.44,5.22,3
T882,667,137,Sandstone,High,2.34,8.26,3
T883,456,35,Sandstone,Medium,3.05,8.36,3
T884,491,127,Clay,High,1.93,7.51,3
T885,739,110,Sandstone,Low,0.25,0.7,0
T886,159,55,Mixed,High,1.2,1.61,1
T887,541,180,Mixed,Low,3.18,5.97,3
T888,328,93,Clay,High,2.65,6.8,2
T889,691,94,Mixed,Low,1.79,6.25,2
T890,860,193,Sandstone,Low,0.8,1.17,0
T891,817,101,Sandstone,Medium,4.11,8.26,3
T892,901,91,Sandstone,High,3.38,6.02,3
T893,405,113,Mixed,Low,2.23,5.7,2
T894,206,74,Mixed,High,4.66,2.61,3
T895,257,39,Clay,Low,1.97,8.07,3
T896,304,177,Mixed,Medium,0.52,6.84,2
T897,982,117,Mixed,Low,1.39,8.53,3
T898,129,40,Clay,Low,4.38,1.72,3
T899,996,152,Clay,Low,4.6,2.62,3
T900,537,83,Clay,High,1.86,2.63,1
T901,552,157,Mixed,High,1.32,9.9,3
T902,917,108,Shale,Low,1.45,4.93,1
T903,897,52,Shale,Low,0.37,7.21,3
T904,286,31,Sandstone,Medium,4.56,9.16,3
T905,414,53,Clay,Medium,2.09,5.22,2
T906,279,151,Shale,High,2.99,3.66,2
T907,695,52,Shale,Low,1.4,2.51,1
T908,212,163,Sandstone,Medium,4.35,5.81,3
T909,363,165,Sandstone,Low,4.11,2.5,3
T910,596,198,Mixed,Low,3.27,7.95,3
T911,585,118,Shale,Medium,2.2,8.08,3
T912,952,135,Sandstone,Low,4.62,2.28,3
T913,723,153,Shale,High,3.99,5.57,3
T914,505,69,Sandstone,Low,2.59,7.01,3
T915,868,88,Shale,High,4.46,3.52,3
T916,293,163,Shale,High,0.74,2.46,0
T917,993,31,Mixed,Medium,0.9,8.22,3
T918,538,109,Sandstone,Medium,0.67,4.95,1
T919,801,151,Sandstone,Low,0.62,0.58,0
T920,253,143,Clay,High,0.87,7.09,3
T921,678,171,Mixed,High,1.54,9.72,3
T922,104,198,Sandstone,Low,1.65,5.07,2
T923,932,98,Mixed,High,2.4,3.32,2
T924,670,60,Mixed,Medium,0.57,1.55,0
T925,123,126,Shale,Low,0.34,6.73,2
T926,119,116,Clay,High,3.24,4.22,3
T927,437,59,Mixed,Low,1.11,6.26,2
T928,196,130,Sandstone,Low,3.41,2.47,3
T929,794,156,Clay,Low,4.54,3.28,3
T930,384,123,Mixed,Medium,3.18,0.72,3
T931,679,22,Mixed,Medium,4.89,6.0,3
T932,887,170,Sandstone,Low,1.5,3.4,1
T933,332,128,Shale,Low,2.78,7.93,3
T934,810,179,Clay,Medium,0.18,5.65,2
T935,792,137,Sandstone,Medium,3.36,8.93,3
T936,785,135,Shale,High,2.72,8.68,3
T937,140,27,Clay,Medium,2.22,4.9,2
T938,828,29,Mixed,Low,3.99,1.9,3
T939,997,105,Clay,Medium,4.99,5.33,3
T940,564,37,Sandstone,Low,3.72,7.79,3
T941,593,24,Mixed,Medium,1.07,3.59,1
T942,104,72,Sandstone,High,0.95,7.67,3
T943,285,195,Shale,High,2.47,2.36,2
T944,243,169,Mixed,Low,0.9,0.57,0
T945,176,58,Mixed,Medium,2.24,3.97,2
T946,411,90,Clay,Medium,4.05,7.81,3
T947,129,69,Clay,Low,4.47,0.86,3
T948,699,135,Clay,High,4.96,1.38,3
T949,993,40,Mixed,Low,4.43,4.24,3
T950,970,165,Clay,Low,1.82,8.52,3
T951,566,129,Mixed,Low,2.97,2.43,2
T952,910,154,Shale,High,3.08,6.75,3
T953,591,35,Sandstone,High,1.53,2.61,1
T954,443,159,Clay,Low,0.42,4.83,1
T955,313,186,Sandstone,Medium,0.21,2.89,1
T956,580,190,Mixed,Medium,1.12,7.3,3
T957,621,76,Sandstone,High,1.12,7.97,3
T958,992,32,Clay,Medium,4.38,7.28,3
T959,415,39,Shale,High,0.67,6.31,2
T960,780,163,Shale,Medium,4.26,1.67,3
T961,861,197,Mixed,Medium,2.34,6.14,2
T962,661,109,Shale,Medium,4.66,1.15,3
T963,773,29,Mixed,Low,1.43,7.74,3
T964,429,29,Shale,Medium,1.3,4.41,1
T965,257,184,Sandstone,Medium,3.07,2.74,3
T966,260,56,Sandstone,Medium,0.67,1.18,0
T967,583,144,Clay,High,2.45,4.86,2
T968,613,43,Sandstone,High,3.13,1.56,3
T969,215,192,Mixed,Low,2.87,3.2,2
T970,933,187,Sandstone,High,4.73,4.09,3
T971,497,127,Clay,Low,3.66,5.89,3
T972,930,86,Clay,Low,2.02,8.85,3
T973,415,69,Shale,High,4.57,9.85,3
T974,783,31,Sandstone,Medium,4.39,8.39,3
T975,977,46,Clay,Low,0.64,1.28,0
T976,741,91,Shale,High,3.7,7.61,3
T977,488,198,Sandstone,Medium,2.08,5.87,2
T978,233,49,Sandstone,High,3.49,7.27,3
T979,559,96,Sandstone,High,2.78,4.61,2
T980,205,62,Sandstone,High,4.28,0.57,3
T981,678,197,Clay,Medium,0.56,5.48,2
T982,271,39,Mixed,High,0.85,1.62,0
T983,658,117,Shale,Low,0.14,9.97,3
T984,829,64,Mixed,Medium,3.49,0.97,3
T985,651,147,Sandstone,High,4.37,6.27,3
T986,627,131,Mixed,High,2.29,3.82,2
T987,528,59,Mixed,Medium,1.25,6.34,2
T988,295,119,Mixed,Medium,3.9,3.06,3
T989,690,145,Mixed,Medium,0.84,4.56,1
T990,727,195,Sandstone,Low,2.42,8.54,3
T991,957,119,Mixed,Low,2.48,6.75,2
T992,304,136,Clay,High,4.88,3.9,3
T993,236,161,Shale,High,0.79,1.82,0
T994,727,141,Clay,Low,3.86,9.41,3
T995,230,139,Sandstone,Medium,1.06,9.91,3
T996,769,138,Clay,Medium,3.17,2.21,3
T997,915,132,Mixed,Medium,4.23,1.97,3
T998,202,198,Shale,High,0.21,9.15,3
T999,331,93,Clay,Low,3.81,9.04,3
T1000,603,93,Sandstone,High,0.56,6.49,2
